Term,Synonyms,Definition
pyramidal,,"shaped like a pyramid or with a pointed tip and a 4-sided base. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pyrenoid,,"an organelle occurring within or adjacent to a chloroplast; often associated with reserve food accumulation. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
pyriform,,"pear-shaped or being broader at the base (distally) than at the top (proximally). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
quadrangular,,"four cornered, usually with right angles. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
quadrate,,"square. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
quadrate ,quadripartite,"having 4 sides and 4 angles. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
quadrichotomous,,"forming four branches at each branch point. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
quadriflagellate,,"having 4 flagella, as with a green algal zoospore. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
quadrinucleate,,"containing four nuclei. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
raceme,,"a long indeterminate group of cells that may be reproductive. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
racemose,,"in red algae, the arrangement of stalked cystocarps on a branchlet. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rachis,,"portion of a seaweed axis that bears subordinate parts oflimited growth in 2 opposite ranks. radial branching. when laterals arise from all sides of an axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
radial,,"on the radii of the structure or around an axis. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
raised,,"(used of conceptacles) protruding gradually somewhat above the thallus surface; cf. prominent (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
ralfsioid,,"said of a thallus which resembles ralfsia (pseudoparenchymatous and crustose.) (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
ramellus ,ramelli,"a secondary branch (branchlet). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ramulus,ramuli,"lesser or ultimate branchlets. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
rbcl,,"the large-chain ribulose 1, 5 bisphosphate carboxylase gene sequence that is part of the chloroplast dna molecule. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rbcl-rbcs,,"intergenic spacer within the plastid genome; see rubisco. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
receptacle,,"a fertile area where gametangia or sporangia occur in some brown (e.g., fucales) and red algae (e.g., corallinales). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
reflexed,,"bent abruptly backwards at more than 90°. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
refractile,,"refracting light. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
reniform,,"kidney-shaped. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
repent,,"bent over, prostrate, or creeping along a substratum. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
residue,,"the remains, usually short and stubby, on an axis or branch when a lateral has been lost (e.g. in cystophora). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
reticulate,,"appearing as a network. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
retroflex,,"bent sharply backwards or downwards from the axis. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
retuse,,"a shallow notch usually located at an obtuse apex. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
revolute,,"rolled back from the margin or apex. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rhachis,,"the main axis of a compound branch system. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
rhizines,,"thick-walled rhizoidal filaments in the medulla of some red algae (e.g., gelidium). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rhizoid,,"a downward growing hyphal-like uniseriate filament that functions in attachment or thickens the axis (e.g., rhizoidal filament). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rhizoidal filament,,"filament resembling a rhizoid but not necessarily involved in attachment, sometimes formed internally within thallus. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
rhizomatous,,"having rhizomes, runners, or stolons (see stolon). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rhizome,,"a prostrate stem-like portion. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rhodolith,,"a term sometimes used for coralline nodules with a nonalgal core; cf. maerl (see introduction 4.1) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
rhodoliths,,"spherical growths of free-living non-geniculate coralline red algae that form around pebbles or shell fragments. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rib,,"a thickened ridge-like reinforcement in a flattened thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ribosome,,"cytoplasmic particle carrying out protein synthesis; made up of rna and protein; free in cytoplasm or attached to endoplasmic reticulum (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
rigid,,"stiff, inflexible. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
robust,,"strongly developed, often thick, compared to related taxa. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
roof,,"the outer surface of a deeply embedded conceptacle in red algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rosette,,"an imitation of a rose. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
rostellate,,"somewhat beaked; narrowed to a slender tip. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
rostrate,,"ending in a long, often beak-like, point. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
row,,"laterally aligned contiguous cells of erect or cortical filaments (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
rubisco,,"ribulose 1,5-bisphosphate carboxylase oxygenase; the enzyme which catalyzes the reaction that fixes co2 into carbohydrates and is located in the stromal space of the plastid; encoded by the rbcl and rbcs genes. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
ruffle,,"frill, pleat. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
ruffle ,ruffled,"with a strong wavy margin. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
rugose,,"roughened or wrinkled. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
runner,,"stolon, rhizome, or horizontal prostrate structure. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
saccate,,"inflated, sac-like, or appearing like a sack. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
saxicolous,,"growing on rocks or stones (e.g., lithophytic). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
scalariform,,"with laterals or their residues arranged like a ladder with cross rungs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
scar cell,,"basal remnant of a trichoblast that appears as a small cell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
scutate,,"shield-shaped; a crustose, lobed to flattened thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
seagrass,,"a marine monocotyledon growing submerged at least at high tide. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
secondary branching,,"branching originating well below branch apices in intergenicular cortex; in geniculate corallines; cf. primary branching (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
secondary pit connection,,"pore formed between cells of different filaments, established by formation of a connector (= conjunctor) cell that fuses with one of the cells. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
secondary pit connection ,,"pit connection formed secondarily and directly between two mature cells of contiguous thallus filaments; cf. primary pit connection (other red algae form secondary pit connections indirectly) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
secondary pit connections,,"a pit formed between 2 mature cells of contiguous filaments (cf. primary pit connections). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
secund,,"arranged on one side only (e.g. branchlets, fig. 2b). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
secund branching,,arranged in a row along one side of an axis (source: Algaebase (2021-05)).
sedis incertae,,"a latin phrase meaning ""uncertain seat""; also a category of uncertain taxonomic position. segment. a joint or one of the portions into which a thallus is divided. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
segment,,"a division of an axis or branch; a large cell of a series. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
segregative cell division,,"cell division where the protoplast divides into 2 or more spherical multinucleate bodies within the mother cell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
seirosporangia,,"monosporangia produced terminally in a linear series. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
semi-endophytic,,"growing partly within a plant, e.g. choreonema (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
sensu,,"latin term “in the sense of” or “as described by” (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
septate,,"transverse cell walls that form distinct cellular compartments. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
septation,,"the occurrence of cross walls or septa. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
septum,,"division. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
septum ,septa,"a partition of primary wall material, usually formed during cell division to separate newly formed daughter cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
seriate,,"cells or spores arranged in a series. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
serrate,,"with a saw-like edge to the thallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
serrate ,serrated,"marginal teeth pointed toward the apex; saw-toothed. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sessile,,"without a stalk. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
seta,,"stiff hair, projection or bristle. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
seta ,setae,"hyaline hair-like outgrowths of a cell that lacks nuclei. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
setaceous,,"bristle-like; covered with spines. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sheath,,"a tubular enveloping structure. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
siderophilic,,"having an affinity for fatty substances (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
sieve-tube,,"conducting elements in the phloem of vascular plants; similar elements occur in the stipes of laminariales. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
silicle ,siliculose,"a short bean-like structure (silique) that is not much longer than wide. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
simple,,"unbranched (e.g. of spermatangial systems) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
sinuate,,"with a wavy outline, used of basal cells and rows of erect filament cells (mainly in titanoderma) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
sinuous,,"with a wavy outline or margin to the thallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
sinusoidal,,"curved backwards and forwards like a sine wave (e.g. fig. 5c). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
siphon,,"a tubular structure that lacks cross walls, as in the coenocytic green alga codium. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
siphonaceous ,siphonous,"having a tubular, non-septate multinucleate thallus, such as in the green algae bryopsis and codium. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
siphonous,,"multinucleate and tubular, with few or no transverse septa (e.g., coenocyte). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
smooth thallus,,"thallus surface lacking microscopic protrusions, flakes etc. and therefore not roughened; cf. flat thallus which applies to macroscopic features (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
solenocysts,,"elongated, multinucleated, longitudinal conducting elements in some kelps and members of the phyllariaceae ( see allelocysts). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sorus,,"an aggregation of sporangia/reproductive organs. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
spatulate,,"ovate with an attenuated base. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
specialised rhizoidal cells,,"lowermost cells of thallus with large heads and elongated extensions lying within the thallus wall (fig. 32). (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
species,,"a taxonomic term referring to the lowest principal nomenclatural rank. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sperm,,"a flagellated male gamete. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
spermatangial branch,spermatangial head | spermatangial axis,"aggregation of spermatangial mother cells into a compact structure bearing numerous spermatangia (e.g. fig. 49d). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
spermatangial mother cell,,"cell that bears spermatangia. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
spermatangium,,"a male cell forming a single spermatium. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
spermatium,,"non-pigmented, non-flagellated male gamete. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
spermatium ,spermatia,"in red algae, a nonmotile or amoeboid colorless male gamete. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
spike,,"an elongate structure with an axis bearing sessile reproductive organs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
spindle-shaped,,"a cylindrical axis that tapers to both ends (e.g., fusiform). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
spine,,"a stiff, sharp-pointed projection on a cell or tissue. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
spinous,,"bearing spines. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
spinulose,,"spiny, covered with small spines. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sporangia,,"spore producing cells or structures. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
sporangium,,"cell that releases one or more spores. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
spore,,"a single-celled asexual reproductive body that is either motile or nonmotile. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sporophyll,,"a blade-bearing sporangia. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sporophyte,,"the diploid phase in a life history that produces spores. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
spout,,"tube-like extension of spermatangial (rarely tetrasporangial) pore (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
spur,,"a short, horn-like projection. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
squamulose,,"with small, slightly overlapping thallus lobes (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
squarish,,"more or less isodiametric (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
statospore,,"a single-celled asexual structure in which the entire spore is formed inside the vegetative cell (e.g., tribonema). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stellate,,"star-shaped, radiating. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
stephanokont,,"having a ring or crown of flagella. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sterile,,without reproductive structures. (source: Hiscock Brown).
sterile cells ,sterile filaments,"cells (filament) produced during the formation of procarps in some red algae (e.g. paraphyses). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sterile group,,"cells formed during post-fertilization development that do not contribute to gonimoblast development. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
stichidium,,"specialized pod-like branchlet bearing series of tetrasporangia (e.g. fig. 85d). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
stichidium ,stichidia,"in red algae, specialized branchlets of distinctive shape that bear spermatangia or tetrasporangia. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stipe,,"the lowermost stalk-like part of an erect frond. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
stipe ,stipitate,"the lower-most stem-like region of a thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stipitate,,"stalked. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
stipulode,,"a needle-shaped structure at the base of secondary laterals in the characeae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stolon,,"a prostrate or creeping axis, lying on the substrate, from which erect branches arise. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
stolon ,stoloniferous,"a branch or runner growing out from the base of a parent frond, which is capable of producing offshoots/uprights (see also runner). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stoloniferous,,"stolon-like or stolon-bearing. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
stomatocyst,,"an ornamented siliceous cyst in the class chrysophyceae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stratified,,"having successive layers; often refers to mucilage (see lamellate). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
streblonematoid,,"with the form of streblonerna, i.e. with prostrate endophytic filaments bearing erect filaments emerging from the host. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
streblonemoid,,"said of a thallus which resembles that of streblonema (prostrate branched filaments). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
striae,,"rays or rows of differentiated cells. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
striae ,striated,"bands, furrows, ridges, or fine delicate lines. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
striate,,"marked with bands, furrows or ridges. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
stromatocyst,,"cysts found in the class chrysophyceae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
stubby,,"short, thick and usually rounded. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
stupose,,"covered with a felt of hairs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
sub-conical,,"nearly or approximately conical. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sub-hemispherical,,"nearly or approximately spherical. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sub-pinnately,,"nearly or approximately pinnately branched. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
sub-spherical,,"nearly or approximately spherical. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
subacute,,"somewhat acute. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
subapical,,"immediately below the apex or tip. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
subclass,,"a taxonomic group between class and order. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
subcortex,,"the inner part of the cortex, differing somewhat from the cortex (e.g. in chordariaceae). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
subdichotomous,,"almost dichotomous but not truly so. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
subepithallial initial,,"a subterminal initial on an erect or cortical filament, cutting off epithallial cells outwardly and erect filament or cortical cells inwardly (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
subfasciculate,,"almost fasciculate. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
sublittoral,,see littoral above. (source: Hiscock Brown).
sublittoral fringe,,"a distinctive fringe zone which is sometimes characteristic of the region just below the eulittoral. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
subquadrate,,"almost square. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
subsidiary cell,,"in some red algae, a vegetative cell born on a supporting cell that becomes part of a fusion cell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
subspherical,,"almost spherical. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
substrate,,"the place (e.g. rock, sand, mud or a host) to which an organism is attached. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
substratum,,"any surface upon which plant grows (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
substratum ,substrata,"a surface on which an organism is attached. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
subtending,,"standing below. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
subterete,,"almost terete. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
subtidal,,"below the lowest low-tide level and similar to the sublittoral zone; a physical term (see sublittoral). subulate. awl-shaped or slender and tapering to a point. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
